L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MAX_IP_PKT_LEN,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV
65060,445,6,10.16,1162,12,818,10,19,19,19,1976,1934,1777,254,255,241,40,241,453,3,241,1,4702,3310,16,6,0,0,0,16383,16383,50432,197,0,0,0,0,726,175,256,0,1090,197,335
5957,110,6,2.0,66870,1668,14656752,11024,27,27,19,69034,69034,69003,62,63,1500,40,1500,347,7,7328208,5508,7749,1698472,2172,36,762,222,9500,16383,16383,23296,91,0,0,0,0,4327,41,118,0,4376,6,49
43798,21,6,37.0,2059,37,2816,39,24,24,24,2090,2067,2089,31,32,106,52,106,505,8,887,10,7877,10773,87,0,0,0,0,21720,18824,63744,249,0,0,125,0,313,53,88,0,388,55,100
44090,6807,6,11.0,4872,28,3080,30,27,27,27,403,403,402,31,32,1068,52,1068,2072,7,1068,6,96475,60990,36,18,2,0,2,14480,14480,6144,24,0,0,0,0,100,14,23,0,99,13,23
65307,21,6,37.0,1251,23,1750,25,24,24,24,211,199,210,31,32,106,52,106,309,5,516,6,47207,66037,59,0,0,0,0,15928,14480,13568,53,0,0,229,0,64,7,13,0,74,8,14
19446,80,6,7.0,825308,626,4096,102,19,19,19,8167,8131,8075,254,255,1500,40,1500,412526,310,0,0,808333,4011,142,0,44,4,538,16383,16383,28166,110,0,0,0,0,295,12,46,0,379,79,91
29047,21,6,37.0,1031,19,1474,21,24,24,24,146,135,145,31,32,106,52,106,251,4,437,5,56108,80217,51,0,0,0,0,14480,13032,64256,251,0,0,230,0,63,5,13,0,71,5,14
32469,21,6,37.0,1817,33,2512,35,24,24,24,722,712,721,31,32,106,52,106,436,7,793,9,20105,27795,79,0,0,0,0,20272,17376,46080,180,0,0,229,0,239,18,48,0,353,18,59
23405,389,6,112.0,536,12,256,6,19,19,19,240,240,220,254,255,48,40,48,140,3,0,0,17792,8497,18,0,0,0,0,16383,16383,35840,140,0,0,0,0,61,21,26,0,216,44,86
20741,5190,6,37.0,1036,12,2262,12,27,27,27,4,3,3,31,32,829,52,829,414,4,971,3,1657600,3619200,20,2,0,2,0,10136,10136,40448,158,0,0,0,0,1,0,0,0,0,0,0
44675,5060,17,100.0,702,2,0,0,0,0,0,0,0,0,254,254,351,351,351,0,0,0,0,5616000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16098,88,17,111.0,612,2,0,0,0,0,0,0,0,0,254,254,306,306,306,0,0,0,0,4896000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63112,179,6,13.0,618,10,256,6,19,19,19,403,381,289,254,255,133,40,133,181,2,0,0,12237,5069,14,2,0,0,0,16383,16383,46336,181,0,0,0,0,144,42,52,0,206,57,80
57182,49389,6,0.0,320,8,240,6,19,19,19,2497,2283,2139,254,255,40,40,40,40,1,0,0,1024,768,14,0,0,0,0,16383,16383,10240,40,0,0,0,0,1836,326,631,0,1741,427,674
6930,80,6,7.0,1684,14,10168,18,27,27,27,1006,1006,1006,31,32,1500,52,1500,634,3,4820,4,13378,80778,20,0,6,0,6,11584,8688,31232,122,0,0,0,0,999,77,266,0,1000,58,235
20932,520,17,0.0,104,2,0,0,0,0,0,0,0,0,254,254,52,52,52,0,0,0,0,832000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12211,22,6,92.0,3728,32,5474,24,27,27,27,145,145,145,31,32,900,52,900,1396,7,2421,6,204273,299945,42,4,4,6,0,14480,14480,29696,116,0,0,0,0,57,4,11,0,56,6,12
57294,55121,6,36.0,2558,40,22878,42,27,27,27,12,12,12,31,32,1352,52,1352,603,7,11019,13,1574153,14078769,66,0,0,0,16,24616,14480,23296,91,0,0,0,0,2,0,0,0,2,0,0
60828,80,6,7.0,818,10,864,8,27,27,19,461,461,393,62,63,304,40,304,281,2,304,1,14164,14961,14,2,2,0,0,16383,16383,6400,25,0,0,0,0,193,51,67,0,155,56,65
17821,7771,6,0.0,320,6,1800,8,27,19,27,46,46,45,31,32,740,52,740,56,1,740,1,54468,306382,12,0,0,2,0,7240,5792,14336,56,0,0,0,0,45,9,18,0,45,6,15
41466,9883,6,36.0,2334,36,15258,36,27,27,27,18,17,16,31,32,1352,52,1352,595,7,7209,10,982736,6424421,62,0,0,0,10,20272,14480,21248,83,0,0,0,0,3,0,0,0,2,0,0
17818,80,6,7.0,788,10,922,8,27,27,19,500,500,432,62,63,333,40,333,266,2,333,1,12582,14722,14,2,2,0,0,16383,16383,2560,10,0,0,0,0,225,55,76,0,212,61,77
5991,80,6,7.0,1696,34,217028,170,27,27,19,1073,1073,1036,62,63,1500,40,1500,240,2,108386,82,12633,1616595,48,2,12,2,140,16383,16383,61440,240,0,0,0,0,202,32,43,0,201,5,24
21526,19430,6,36.0,2230,34,16822,38,27,27,27,15,14,14,31,32,1352,52,1352,595,7,7991,11,1115000,8411000,60,0,0,2,10,21720,14480,21248,83,0,0,0,0,3,0,0,0,3,0,0
30002,80,6,7.0,240,6,80,2,22,22,18,123,123,0,254,255,40,40,40,40,1,0,0,15483,5161,8,0,0,0,0,46154,65133,10240,40,0,0,0,0,108,24,42,0,0,0,0
12789,179,6,13.0,25632,32,704,14,19,19,19,1042,1001,997,254,255,1500,40,1500,12688,13,144,2,196602,5399,28,0,2,0,16,16383,16383,36864,144,0,0,0,0,484,32,91,0,366,76,104
61142,8089,6,0.0,160,4,80,2,18,18,18,333,333,0,254,255,40,40,40,40,1,0,0,3832,1916,6,0,0,0,0,21180,24861,10240,40,0,0,0,0,333,111,156,0,0,0,0
28663,50811,17,11.0,528,4,304,4,0,0,0,1,1,0,31,32,148,52,148,0,0,0,0,2112000,1216000,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3766,80,6,7.0,782,10,3302,10,27,27,19,1067,1067,984,62,63,1483,40,1483,263,2,1483,1,5857,24734,16,2,0,0,2,16383,16383,1792,7,0,0,0,0,487,118,168,0,713,109,217
1851,6881,6,37.0,24016,426,1094788,858,27,27,27,3879,3878,3878,31,32,1500,52,1500,2908,38,545310,389,49517,2257294,512,0,4,64,704,65160,59368,23552,92,0,0,0,0,2703,8,131,0,2703,4,92
38336,52431,6,0.0,424,8,8824,12,27,19,27,223,223,223,31,32,1500,52,1500,56,1,4252,3,15142,315142,14,0,0,0,6,10136,5792,14336,56,0,0,0,0,174,31,60,0,173,20,50
47152,5190,6,37.0,1064,12,2260,12,27,27,27,6,4,5,31,32,828,52,828,428,4,970,3,1216000,2582857,20,2,0,2,0,10136,10136,44032,172,0,0,0,0,2,0,0,0,2,0,0
22296,80,6,7.0,828,10,1456,8,27,27,19,856,856,788,62,63,600,40,600,286,2,600,1,7729,13591,14,2,0,2,0,16383,16383,7680,30,0,0,0,0,454,95,144,0,635,112,216
24077,5190,6,0.0,1064,12,2260,12,27,27,27,4,3,3,31,32,828,52,828,428,4,970,3,1702400,3616000,20,2,0,2,0,10136,10136,44032,172,0,0,0,0,1,0,0,0,1,0,0
32282,52052,6,36.0,2438,38,18678,40,27,27,27,13,13,13,31,32,1352,52,1352,595,7,8919,12,1393142,10673142,64,0,2,0,12,23168,14480,21248,83,0,0,0,0,2,0,0,0,2,0,0
4361,54121,6,37.0,8928,14,320,6,27,27,19,333,333,332,31,32,1500,52,1500,4308,4,0,0,213844,7664,14,0,0,0,6,5792,10136,54272,212,0,0,0,0,196,25,60,0,196,66,83
65136,860,6,0.0,966,6,80,2,18,18,18,320,320,0,62,63,403,40,403,443,2,0,0,24074,1993,6,0,2,0,0,54360,8787,47872,187,0,0,0,0,294,64,115,0,0,0,0
38282,21,6,37.0,2487,45,3500,50,25,25,25,952,951,951,31,32,106,52,106,563,9,1126,13,20877,29380,106,0,0,0,0,26064,20272,13056,51,0,0,0,0,266,18,48,0,285,17,54
15305,34867,6,36.0,2958,48,32330,50,27,27,27,67,67,67,31,32,1352,52,1352,595,7,15745,17,348000,3803529,74,0,2,0,22,30408,14480,21248,83,0,0,0,0,6,1,2,0,6,1,2
50989,21,6,1.0,993,21,20216,19,24,24,16,1774,1690,1701,62,63,1064,40,1064,452,9,9576,9,4475,91114,30,0,0,0,19,16383,16383,50176,196,0,0,200,0,341,87,107,0,377,98,114
23102,80,6,7.0,48846,42,416,10,19,19,19,251,251,244,254,255,1500,40,1500,24295,18,0,0,1550666,13206,18,0,2,0,32,16383,16383,59136,231,0,0,0,0,70,5,17,0,132,26,42
46237,21,6,37.0,1031,19,1474,21,24,24,24,574,533,573,31,32,106,52,106,251,4,437,5,14344,20507,51,0,0,0,0,14480,13032,64256,251,0,0,230,0,148,25,39,0,102,27,35
48525,6881,6,37.0,1540,16,1644,18,27,27,27,18,18,18,31,32,329,52,329,562,4,506,3,648421,692210,30,0,4,0,0,10136,10136,12800,50,0,0,0,0,6,1,1,0,7,0,1
4367,21,6,37.0,2487,45,3500,50,25,25,25,1752,1752,1752,31,32,106,52,106,563,9,1126,13,11349,15972,106,0,0,0,0,26064,20272,13056,51,0,0,0,0,373,41,81,0,558,39,99
7185,53,17,5.0,146,2,178,2,0,0,0,1,0,0,31,31,89,73,89,0,0,0,0,584000,712000,4,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
8408,6881,6,37.0,1540,16,1644,18,27,27,27,18,18,18,31,32,329,52,329,562,4,506,3,648421,692210,30,0,4,0,0,10136,10136,12800,50,0,0,0,0,5,1,1,0,7,0,1
46064,8089,6,0.0,160,4,80,2,18,18,18,321,321,0,254,255,40,40,40,40,1,0,0,3975,1987,6,0,0,0,0,53431,30090,10240,40,0,0,0,0,321,107,151,0,0,0,0
63927,16249,6,11.0,4504,18,2456,18,27,27,27,6,5,5,31,32,1144,52,1144,2148,7,1068,6,5147428,2806857,14,18,2,0,2,14480,14480,25600,100,0,0,0,0,1,0,0,0,1,0,0
45281,80,6,7.0,784,10,918,8,27,27,19,279,279,260,62,63,331,40,331,264,2,331,1,22400,26228,14,2,2,0,0,16383,16383,2048,8,0,0,0,0,111,30,41,0,188,36,63
8160,7336,6,36.0,3062,50,31680,48,27,27,27,30,29,29,31,32,1352,52,1352,595,7,15472,17,790193,8175483,76,0,0,0,22,30408,14480,21248,83,0,0,0,0,4,0,0,0,4,0,1
32446,25,6,37.0,37492,52,3380,42,27,27,27,501,501,501,31,32,1500,52,1500,18330,18,958,7,597482,53864,66,2,2,0,24,15928,30408,39424,154,0,0,0,0,77,9,23,0,78,11,25
49631,5190,6,37.0,1470,22,1728,14,27,27,27,5,5,4,31,32,510,52,510,423,5,652,3,1960000,2304000,32,2,2,0,0,10136,11584,42752,167,0,0,0,0,1,0,0,0,1,0,0
4062,21,6,1.0,485,11,434,8,17,17,17,1067,1045,857,254,255,74,40,74,118,2,137,2,3632,3250,28,0,0,0,0,16383,16383,30208,118,0,0,0,0,505,116,168,0,502,152,192
65079,520,17,0.0,64,2,0,0,0,0,0,0,0,0,254,254,32,32,32,0,0,0,0,512000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4325,21,6,37.0,481,9,750,11,24,24,24,33,23,32,31,32,94,52,94,132,2,172,2,113176,176470,31,0,0,0,0,10136,10136,33792,132,0,0,229,0,11,1,3,0,12,2,4
26633,53,17,5.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,81,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
8586,7855,6,0.0,320,6,1938,8,27,19,27,112,112,112,31,32,809,52,809,56,1,809,1,22654,137203,12,0,0,2,0,7240,5792,14336,56,0,0,0,0,111,22,44,0,111,15,38
40516,21,6,37.0,1031,19,1474,21,24,24,24,524,513,523,31,32,106,52,106,251,4,437,5,15710,22460,51,0,0,0,0,14480,13032,64256,251,0,0,230,0,271,23,54,0,295,24,60
55217,25601,6,36.0,3302,54,35742,56,27,27,27,20,19,19,31,32,1352,52,1352,611,7,17451,20,1257904,13616000,80,6,0,0,24,34752,14480,25344,99,0,0,0,0,2,0,0,0,2,0,0
27509,21,6,1.0,701,13,1054,15,24,24,24,987,977,986,31,32,106,52,106,190,3,266,3,5676,8534,39,0,0,0,0,11584,11584,48640,190,0,0,125,0,555,65,137,0,556,69,137
43235,80,6,7.0,940,10,1238,8,27,27,19,624,624,527,62,63,491,40,491,342,2,491,1,12032,15846,14,0,4,0,0,16383,16383,22016,86,0,0,0,0,226,69,87,0,405,75,138
36102,19804,6,36.0,2438,38,19860,40,27,27,27,10,10,10,31,32,1352,52,1352,595,7,9510,12,1773090,14443636,64,0,0,2,12,23168,14480,21248,83,0,0,0,0,1,0,0,0,1,0,0
32248,21,6,37.0,481,9,750,11,24,24,24,16,6,15,31,32,94,52,94,132,2,172,2,226352,352941,31,0,0,0,0,10136,10136,33792,132,0,0,229,0,4,0,1,0,9,1,2
48139,8089,6,0.0,160,4,80,2,18,18,18,843,843,0,254,255,40,40,40,40,1,0,0,1516,758,6,0,0,0,0,51820,43001,10240,40,0,0,0,0,843,281,397,0,0,0,0
17763,21,6,1.0,493,11,11784,13,24,24,16,1746,1497,1627,62,63,1064,40,1064,242,5,5320,5,2257,53962,22,0,0,0,11,16383,16383,61952,242,0,0,200,0,1705,227,426,0,1678,220,403
51275,3306,6,20.0,596,10,634,10,19,19,19,634,634,566,254,255,122,40,122,170,2,189,2,7508,7987,20,0,0,0,0,16383,16383,43520,170,0,0,0,0,268,70,91,0,268,62,87
8702,46342,6,0.0,528,10,8824,12,27,19,27,48,47,47,31,32,1500,52,1500,56,1,4252,3,86204,1440653,16,0,0,0,6,10136,5792,14336,56,0,0,0,0,46,5,14,0,46,4,13
47806,520,17,0.0,64,2,0,0,0,0,0,0,0,0,254,254,32,32,32,0,0,0,0,512000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9008,21,6,1.0,701,13,1054,15,24,24,24,5,4,4,31,32,106,52,106,190,3,266,3,934666,1405333,39,0,0,0,0,11584,11584,48640,190,0,0,125,0,2,0,0,0,1,0,0
22450,21,6,37.0,2383,43,3232,45,24,24,24,24,23,23,31,32,106,52,106,563,9,1067,12,762560,1034240,99,0,0,0,0,24616,20272,13056,51,0,0,221,0,6,0,1,0,5,0,0
49628,53,17,5.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,81,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
60040,860,6,0.0,966,6,80,2,18,18,18,128,128,0,62,63,403,40,403,443,2,0,0,59906,4961,6,0,2,0,0,63431,4112,47872,187,0,0,0,0,105,25,40,0,0,0,0
22571,6881,6,37.0,1540,16,1644,18,27,27,27,18,18,18,31,32,329,52,329,562,4,506,3,648421,692210,30,0,4,0,0,10136,10136,12800,50,0,0,0,0,5,1,1,0,8,0,2
31476,80,6,7.0,808,10,1388,8,19,19,19,382,382,299,254,255,566,40,566,276,2,566,1,16877,28992,14,2,0,2,0,16383,16383,5120,20,0,0,0,0,126,42,49,0,185,42,64
56617,80,6,7.0,804,10,2130,8,27,27,19,610,610,572,62,63,937,40,937,274,2,937,1,10527,27888,14,2,0,2,0,16383,16383,4608,18,0,0,0,0,336,67,104,0,423,81,143
17635,28001,6,37.0,320,6,2002,8,27,19,27,47,46,46,31,32,841,52,841,56,1,841,1,53333,333666,12,0,0,2,0,7240,5792,14336,56,0,0,0,0,44,9,17,0,45,6,15
11789,5060,17,100.0,718,2,0,0,0,0,0,0,0,0,254,254,359,359,359,0,0,0,0,5744000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11734,389,6,112.0,2978,10,256,6,19,19,19,576,533,531,254,255,1313,40,1313,1361,2,0,0,41289,3549,14,0,0,0,2,16383,16383,20736,81,0,0,0,0,289,59,92,0,418,106,161
1118,21,6,1.0,481,9,750,11,24,24,24,23,13,22,31,32,94,52,94,132,2,172,2,160333,250000,31,0,0,0,0,10136,10136,33792,132,0,0,229,0,11,0,2,0,12,1,3
29239,27617,6,36.0,2766,44,25742,46,27,27,27,28,27,27,31,32,1352,52,1352,603,7,12451,15,763034,7101241,70,0,0,4,16,27512,14480,23296,91,0,0,0,0,5,0,1,0,5,0,1
24726,25,6,3.0,37218,52,3276,40,27,27,27,865,865,865,31,32,1500,52,1500,18193,18,958,7,343815,30263,64,2,2,0,24,15928,30408,4352,17,0,0,0,0,295,16,48,0,294,21,54
35294,34316,6,0.0,320,8,240,6,19,19,19,2060,1532,1997,254,255,40,40,40,40,1,0,0,1242,931,14,0,0,0,0,16383,16383,10240,40,0,0,0,0,1120,218,381,0,1215,399,507
64366,520,17,0.0,64,2,0,0,0,0,0,0,0,0,254,254,32,32,32,0,0,0,0,512000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44350,53,17,5.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,81,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,1,60,0,0,0,0,0,0,0,0,0
42719,4803,6,36.0,3910,66,50952,66,27,27,27,115,114,113,31,32,1352,52,1352,603,7,25056,25,269655,3513931,96,0,0,0,36,41992,14480,23296,91,0,0,0,0,22,1,3,0,27,1,4
46642,143,6,37.0,7824,122,14814,126,27,27,27,1639,1639,1639,31,32,1500,52,1500,2300,30,5739,31,38165,72263,222,16,6,2,2,50680,47784,64512,252,0,0,0,0,140,13,24,0,141,12,23
61958,80,6,7.0,766,10,1184,8,27,27,19,539,539,464,62,63,464,40,464,255,2,464,1,11348,17540,14,2,2,0,0,16383,16383,65280,255,0,0,0,0,178,59,70,0,325,66,110
52997,88,17,111.0,578,2,0,0,0,0,0,0,0,0,254,254,289,289,289,0,0,0,0,4624000,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1304,520,17,0.0,64,2,0,0,0,0,0,0,0,0,254,254,32,32,32,0,0,0,0,512000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56267,80,6,7.0,784,10,914,8,27,27,19,636,636,514,62,63,329,40,329,264,2,329,1,9846,11478,14,2,2,0,0,16383,16383,2048,8,0,0,0,0,215,70,87,0,409,73,139
56467,179,6,13.0,522,10,256,6,19,19,19,535,507,450,254,255,85,40,85,133,2,0,0,7791,3820,16,0,0,0,0,16383,16383,34048,133,0,0,0,0,176,56,71,0,345,89,133
60829,445,6,10.16,942,11,736,8,19,19,19,621,569,540,254,255,240,40,240,363,3,240,1,12115,9466,13,6,0,0,0,16383,16383,27392,107,0,0,0,0,158,56,65,0,303,77,106
23321,80,6,7.0,870,10,1438,8,19,19,19,267,267,250,254,255,591,40,591,307,2,591,1,25970,42925,14,0,2,2,0,16383,16383,13056,51,0,0,0,0,129,29,43,0,193,35,66
55509,5190,6,0.0,2158,24,2464,24,27,27,27,7,5,6,31,32,433,52,433,767,6,864,5,2158000,2464000,40,4,4,0,0,13032,13032,65280,255,0,0,0,0,1,0,0,0,1,0,0
44079,1723,6,0.0,2504,10,336,8,19,19,19,1610,1548,1446,254,255,1076,40,1076,1124,2,0,0,12434,1668,16,0,0,0,2,16383,16383,25600,100,0,0,0,0,635,171,255,0,941,206,321
16304,19072,6,36.0,3390,56,41008,58,27,27,27,34,34,34,31,32,1352,52,1352,603,7,20084,21,774857,9373257,82,0,4,0,28,36200,14480,23296,91,0,0,0,0,5,0,1,0,5,0,1
25707,25,6,37.0,37244,52,3380,42,27,27,27,533,532,528,31,32,1500,52,1500,18206,18,958,7,557962,50636,66,2,2,0,24,15928,30408,7680,30,0,0,0,0,72,10,22,0,81,12,25
28395,56216,6,36.0,4238,72,61348,74,27,27,27,43,43,43,31,32,1352,52,1352,611,7,30254,29,770545,11154181,98,0,6,0,42,47784,14480,25344,99,0,0,0,0,4,0,0,0,4,0,0
30523,520,17,0.0,104,2,0,0,0,0,0,0,0,0,254,254,52,52,52,0,0,0,0,832000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38841,21,6,37.0,1031,19,1474,21,24,24,24,7,7,6,31,32,106,52,106,251,4,437,5,1031000,1474000,51,0,0,0,0,14480,13032,64256,251,0,0,230,0,2,0,0,0,2,0,0
41381,5405,6,0.0,14206,18,336,8,19,19,19,444,427,414,254,255,1500,40,1500,6975,6,0,0,255388,6040,16,0,0,2,8,16383,16383,16128,63,0,0,0,0,279,25,67,0,302,59,102
39939,80,6,7.0,1684,14,10168,18,27,27,27,1195,1194,1190,31,32,1500,52,1500,634,3,4820,4,11264,68013,20,0,6,0,6,11584,8688,31232,122,0,0,0,0,1149,91,305,0,1156,69,271
16927,21,6,37.0,701,13,1054,15,24,24,24,94,84,93,31,32,106,52,106,190,3,266,3,59031,88757,39,0,0,0,0,11584,11584,48640,190,0,0,125,0,33,6,9,0,28,7,8
56428,162,17,14.0,136,2,0,0,0,0,0,0,0,0,254,254,68,68,68,0,0,0,0,1088000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20040,80,6,7.0,764,10,990,8,27,27,19,223,223,210,62,63,367,40,367,254,2,367,1,27285,35357,14,2,2,0,0,16383,16383,65024,254,0,0,0,0,96,24,34,0,156,30,54
27896,55608,6,36.0,2438,38,19138,40,27,27,27,10,10,10,31,32,1352,52,1352,595,7,9149,12,1773090,13918545,64,0,0,2,12,23168,14480,21248,83,0,0,0,0,2,0,0,0,2,0,0
58187,80,6,7.0,1684,14,10168,18,27,27,27,1131,1130,1131,31,32,1500,52,1500,634,3,4820,4,11901,71858,20,0,6,0,6,11584,8688,31232,122,0,0,0,0,1038,86,275,0,1039,66,243
34514,8744,6,7.0,1690,10,336,8,27,27,19,739,717,671,62,63,669,40,669,717,2,0,0,18270,3632,16,0,0,2,0,16383,16383,52480,205,0,0,0,0,445,79,137,0,431,95,147
55714,80,6,7.0,970,10,256,6,19,19,19,659,626,590,254,255,309,40,309,357,2,0,0,11757,3103,14,0,2,0,0,16383,16383,25856,101,0,0,0,0,318,69,101,0,485,117,187
20392,10,6,0.0,352,8,256,6,19,19,19,130,130,113,254,255,48,40,48,48,1,0,0,21496,15633,14,0,0,0,0,16383,16383,12288,48,0,0,0,0,61,18,25,0,108,22,42
20956,520,17,0.0,104,2,0,0,0,0,0,0,0,0,254,254,52,52,52,0,0,0,0,832000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24699,59308,6,11.0,4472,18,2456,18,27,27,27,4,4,4,31,32,1128,52,1128,2132,7,1068,6,7155200,3929600,14,18,2,0,2,14480,14480,21504,84,0,0,0,0,1,0,0,0,1,0,0
63008,25,6,37.0,37322,52,3276,40,27,27,27,387,387,387,31,32,1500,52,1500,18245,18,958,7,769525,67546,64,2,2,0,24,15928,30408,17664,69,0,0,0,0,146,7,25,0,150,9,29
57737,67,17,18.0,1152,2,0,0,0,0,0,0,0,0,62,62,576,576,576,0,0,0,0,9216000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
