record_index,sample_id,model_profile_id,condition,true_label,predicted_label,reference_model,attribution_scale,citation_count,distinct_cited_feature_count,top_five_overlap_count,cited_absolute_attribution_sum,mean_cited_reference_rank,best_cited_reference_rank,worst_cited_reference_rank,cited_features,reference_total_absolute_attribution,reference_top_five_absolute_attribution,reference_top_five_features,top_five_overlap_fraction,top_five_jaccard,attribution_mass_coverage,relative_to_reference_top_five_mass
4,pilot_005,63c8049f8fe1fdd8,deterministic_text,Benign,DoS,random_forest,DoS probability,5,5,1,0.115632071549,16.8,3,34,"('RETRANSMITTED_IN_PKTS', 'L7_PROTO', 'FLOW_DURATION_MILLISECONDS', 'SRC_TO_DST_AVG_THROUGHPUT', 'MIN_TTL')",0.616642413178,0.31923687903,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'SERVER_TCP_FLAGS')",0.2,0.111111111111,0.187518842489,0.36221401456
4,pilot_005,63c8049f8fe1fdd8,structured,Benign,Benign,random_forest,DoS probability,5,5,1,0.0988939178941,17.8,3,34,"('IN_PKTS', 'IN_BYTES', 'SRC_TO_DST_AVG_THROUGHPUT', 'FLOW_DURATION_MILLISECONDS', 'MIN_TTL')",0.616642413178,0.31923687903,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'SERVER_TCP_FLAGS')",0.2,0.111111111111,0.160374823043,0.309782247573
5,pilot_006,bd45078ab8480f70,deterministic_text,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.146606165728,25,20,28,"('L4_DST_PORT', 'L7_PROTO', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'DNS_QUERY_TYPE')",8.24524335402,5.63365900016,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'DNS_TTL_ANSWER', 'TCP_WIN_MAX_IN')",0,0,0.0177806960248,0.0260232587248
5,pilot_006,bd45078ab8480f70,structured,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.132512988138,27,20,37,"('L4_DST_PORT', 'OUT_BYTES', 'IN_PKTS', 'DNS_QUERY_TYPE', 'FLOW_DURATION_MILLISECONDS')",8.24524335402,5.63365900016,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'DNS_TTL_ANSWER', 'TCP_WIN_MAX_IN')",0,0,0.0160714465842,0.0235216558428
5,pilot_006,bd45078ab8480f70,deterministic_text,Benign,Benign,random_forest,DoS probability,5,5,0,0.0836593463183,10.6,6,16,"('L4_DST_PORT', 'L7_PROTO', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'DNS_QUERY_TYPE')",0.566589279857,0.311874994974,"('MAX_TTL', 'MIN_IP_PKT_LEN', 'MIN_TTL', 'DST_TO_SRC_AVG_THROUGHPUT', 'SHORTEST_FLOW_PKT')",0,0,0.147654304966,0.268246405344
5,pilot_006,bd45078ab8480f70,structured,Benign,Benign,random_forest,DoS probability,5,5,0,0.0698947325833,13,6,19,"('L4_DST_PORT', 'OUT_BYTES', 'IN_PKTS', 'DNS_QUERY_TYPE', 'FLOW_DURATION_MILLISECONDS')",0.566589279857,0.311874994974,"('MAX_TTL', 'MIN_IP_PKT_LEN', 'MIN_TTL', 'DST_TO_SRC_AVG_THROUGHPUT', 'SHORTEST_FLOW_PKT')",0,0,0.123360492456,0.224111370612
7,pilot_008,3c9513c21b4c3ee0,deterministic_text,DoS,Benign,logistic_regression,DoS log-odds,5,5,1,0.998654879169,12.6,5,23,"('IN_PKTS', 'PROTOCOL', 'L4_DST_PORT', 'TCP_FLAGS', 'FLOW_DURATION_MILLISECONDS')",6.79026837096,4.76956485163,"('MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'L7_PROTO', 'L4_DST_PORT')",0.2,0.111111111111,0.147071488874,0.209380710869
7,pilot_008,3c9513c21b4c3ee0,structured,DoS,Benign,logistic_regression,DoS log-odds,5,5,1,0.907120435045,13.2,5,23,"('L4_DST_PORT', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'TCP_FLAGS', 'SRC_TO_DST_AVG_THROUGHPUT')",6.79026837096,4.76956485163,"('MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'L7_PROTO', 'L4_DST_PORT')",0.2,0.111111111111,0.133591249342,0.190189349189
7,pilot_008,3c9513c21b4c3ee0,deterministic_text,DoS,Benign,random_forest,DoS probability,5,5,0,0.0389115621139,20.8,7,36,"('IN_PKTS', 'PROTOCOL', 'L4_DST_PORT', 'TCP_FLAGS', 'FLOW_DURATION_MILLISECONDS')",0.476631869627,0.255447830678,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'SERVER_TCP_FLAGS')",0,0,0.0816386074737,0.152326845018
7,pilot_008,3c9513c21b4c3ee0,structured,DoS,Benign,random_forest,DoS probability,5,5,0,0.0425876458608,17.8,7,27,"('L4_DST_PORT', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'TCP_FLAGS', 'SRC_TO_DST_AVG_THROUGHPUT')",0.476631869627,0.255447830678,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'SERVER_TCP_FLAGS')",0,0,0.0893512343061,0.166717586709
8,pilot_009,f6433b14fa74884b,deterministic_text,DoS,Benign,logistic_regression,DoS log-odds,5,5,2,1.13236155513,10.6,3,22,"('FTP_COMMAND_RET_CODE', 'IN_PKTS', 'L4_DST_PORT', 'TCP_FLAGS', 'MAX_TTL')",4.58354992795,2.01817317406,"('DST_TO_SRC_IAT_AVG', 'MIN_TTL', 'MAX_TTL', 'MIN_IP_PKT_LEN', 'L4_DST_PORT')",0.4,0.25,0.247049028139,0.561082453023
8,pilot_009,f6433b14fa74884b,structured,DoS,Benign,logistic_regression,DoS log-odds,5,5,2,0.974400913188,13.6,2,28,"('IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'L4_DST_PORT', 'FTP_COMMAND_RET_CODE', 'MIN_TTL')",4.58354992795,2.01817317406,"('DST_TO_SRC_IAT_AVG', 'MIN_TTL', 'MAX_TTL', 'MIN_IP_PKT_LEN', 'L4_DST_PORT')",0.4,0.25,0.212586516675,0.48281333124
8,pilot_009,f6433b14fa74884b,deterministic_text,DoS,Benign,random_forest,DoS probability,5,5,1,0.0843715578887,18.4,4,29,"('FTP_COMMAND_RET_CODE', 'IN_PKTS', 'L4_DST_PORT', 'TCP_FLAGS', 'MAX_TTL')",0.538371801076,0.251159671909,"('MIN_IP_PKT_LEN', 'SHORTEST_FLOW_PKT', 'MIN_TTL', 'MAX_TTL', 'SRC_TO_DST_IAT_AVG')",0.2,0.111111111111,0.156716153632,0.33592796665
8,pilot_009,f6433b14fa74884b,structured,DoS,Benign,random_forest,DoS probability,5,5,1,0.0865388135102,17.2,3,29,"('IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'L4_DST_PORT', 'FTP_COMMAND_RET_CODE', 'MIN_TTL')",0.538371801076,0.251159671909,"('MIN_IP_PKT_LEN', 'SHORTEST_FLOW_PKT', 'MIN_TTL', 'MAX_TTL', 'SRC_TO_DST_IAT_AVG')",0.2,0.111111111111,0.160741727812,0.344556961922
9,pilot_010,b5b1608211cefb33,deterministic_text,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.149963054547,28.6,14,42,"('IN_PKTS', 'OUT_PKTS', 'IN_BYTES', 'PROTOCOL', 'FLOW_DURATION_MILLISECONDS')",5.5214796675,3.43033068083,"('MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'TCP_WIN_MAX_OUT', 'TCP_WIN_MAX_IN')",0,0,0.0271599396499,0.0437167924904
9,pilot_010,b5b1608211cefb33,structured,Benign,DoS,logistic_regression,DoS log-odds,5,5,0,0.174226012512,26,14,44,"('FLOW_DURATION_MILLISECONDS', 'PROTOCOL', 'IN_PKTS', 'L4_DST_PORT', 'RETRANSMITTED_IN_PKTS')",5.5214796675,3.43033068083,"('MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'TCP_WIN_MAX_OUT', 'TCP_WIN_MAX_IN')",0,0,0.031554225136,0.0507898592651
9,pilot_010,b5b1608211cefb33,deterministic_text,Benign,Benign,random_forest,DoS probability,5,5,0,0.0318864348901,23,9,32,"('IN_PKTS', 'OUT_PKTS', 'IN_BYTES', 'PROTOCOL', 'FLOW_DURATION_MILLISECONDS')",0.532661321745,0.286641197411,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'DST_TO_SRC_AVG_THROUGHPUT', 'SHORTEST_FLOW_PKT')",0,0,0.0598624934615,0.111241633018
9,pilot_010,b5b1608211cefb33,structured,Benign,DoS,random_forest,DoS probability,5,5,0,0.0308151170211,23.6,9,34,"('FLOW_DURATION_MILLISECONDS', 'PROTOCOL', 'IN_PKTS', 'L4_DST_PORT', 'RETRANSMITTED_IN_PKTS')",0.532661321745,0.286641197411,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'DST_TO_SRC_AVG_THROUGHPUT', 'SHORTEST_FLOW_PKT')",0,0,0.0578512382317,0.107504145599
10,pilot_011,20b41cc8abc1eb96,deterministic_text,DoS,DoS,logistic_regression,DoS log-odds,5,5,0,0.243576272365,21.4,11,30,"('TCP_FLAGS', 'L4_DST_PORT', 'RETRANSMITTED_IN_PKTS', 'L7_PROTO', 'IN_PKTS')",7.06974328305,4.9792746443,"('MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'DST_TO_SRC_IAT_AVG', 'DST_TO_SRC_IAT_STDDEV')",0,0,0.0344533404697,0.048918023159
10,pilot_011,20b41cc8abc1eb96,structured,DoS,Benign,logistic_regression,DoS log-odds,5,5,0,0.250064843154,20.4,11,25,"('TCP_FLAGS', 'L4_DST_PORT', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'RETRANSMITTED_IN_PKTS')",7.06974328305,4.9792746443,"('MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'DST_TO_SRC_IAT_AVG', 'DST_TO_SRC_IAT_STDDEV')",0,0,0.035371134869,0.0502211388239
10,pilot_011,20b41cc8abc1eb96,deterministic_text,DoS,DoS,random_forest,DoS probability,5,5,0,0.0391143812028,23.2,8,35,"('TCP_FLAGS', 'L4_DST_PORT', 'RETRANSMITTED_IN_PKTS', 'L7_PROTO', 'IN_PKTS')",0.503804917816,0.241391262229,"('MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'SERVER_TCP_FLAGS', 'SHORTEST_FLOW_PKT')",0,0,0.0776379503646,0.162037270287
10,pilot_011,20b41cc8abc1eb96,structured,DoS,Benign,random_forest,DoS probability,5,5,0,0.0368763221173,24.2,8,35,"('TCP_FLAGS', 'L4_DST_PORT', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'RETRANSMITTED_IN_PKTS')",0.503804917816,0.241391262229,"('MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'SERVER_TCP_FLAGS', 'SHORTEST_FLOW_PKT')",0,0,0.0731956374645,0.152765770297
11,pilot_012,bc9146b4609c210b,deterministic_text,DoS,DoS,logistic_regression,DoS log-odds,5,5,1,20.7541533013,21,5,43,"('RETRANSMITTED_OUT_PKTS', 'OUT_BYTES', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_DST_PORT', 'NUM_PKTS_1024_TO_1514_BYTES')",194.560284868,155.967292055,"('NUM_PKTS_256_TO_512_BYTES', 'OUT_PKTS', 'NUM_PKTS_UP_TO_128_BYTES', 'DURATION_OUT', 'RETRANSMITTED_OUT_PKTS')",0.2,0.111111111111,0.106672095569,0.133067343979
11,pilot_012,bc9146b4609c210b,structured,DoS,Benign,logistic_regression,DoS log-odds,5,5,0,12.1737533559,30.2,6,43,"('L4_DST_PORT', 'PROTOCOL', 'L4_SRC_PORT', 'IN_PKTS', 'DST_TO_SRC_AVG_THROUGHPUT')",194.560284868,155.967292055,"('NUM_PKTS_256_TO_512_BYTES', 'OUT_PKTS', 'NUM_PKTS_UP_TO_128_BYTES', 'DURATION_OUT', 'RETRANSMITTED_OUT_PKTS')",0,0,0.0625705979209,0.0780532456226
11,pilot_012,bc9146b4609c210b,deterministic_text,DoS,DoS,random_forest,DoS probability,5,5,0,0.078138243612,18,6,33,"('RETRANSMITTED_OUT_PKTS', 'OUT_BYTES', 'DST_TO_SRC_AVG_THROUGHPUT', 'L4_DST_PORT', 'NUM_PKTS_1024_TO_1514_BYTES')",0.611034037449,0.280770744336,"('MIN_TTL', 'SHORTEST_FLOW_PKT', 'MIN_IP_PKT_LEN', 'MAX_TTL', 'SERVER_TCP_FLAGS')",0,0,0.127878708588,0.278299093436
11,pilot_012,bc9146b4609c210b,structured,DoS,Benign,random_forest,DoS probability,5,5,0,0.0528262913946,27.2,6,44,"('L4_DST_PORT', 'PROTOCOL', 'L4_SRC_PORT', 'IN_PKTS', 'DST_TO_SRC_AVG_THROUGHPUT')",0.611034037449,0.280770744336,"('MIN_TTL', 'SHORTEST_FLOW_PKT', 'MIN_IP_PKT_LEN', 'MAX_TTL', 'SERVER_TCP_FLAGS')",0,0,0.0864539258978,0.188147420842
12,pilot_013,002f43355f1edaf4,deterministic_text,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.600179562349,19.8,6,41,"('L4_DST_PORT', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'TCP_FLAGS', 'FTP_COMMAND_RET_CODE')",6.25028856903,3.51708393244,"('MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'L7_PROTO', 'SERVER_TCP_FLAGS')",0,0,0.0960242964337,0.170646926226
12,pilot_013,002f43355f1edaf4,structured,Benign,Benign,logistic_regression,DoS log-odds,5,5,1,1.12423967897,18.4,2,37,"('L4_DST_PORT', 'IN_BYTES', 'NUM_PKTS_UP_TO_128_BYTES', 'FLOW_DURATION_MILLISECONDS', 'MIN_TTL')",6.25028856903,3.51708393244,"('MIN_IP_PKT_LEN', 'MIN_TTL', 'MAX_TTL', 'L7_PROTO', 'SERVER_TCP_FLAGS')",0.2,0.111111111111,0.179870043847,0.319651080431
12,pilot_013,002f43355f1edaf4,deterministic_text,Benign,Benign,random_forest,DoS probability,5,5,0,0.066748375479,15.4,7,24,"('L4_DST_PORT', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'TCP_FLAGS', 'FTP_COMMAND_RET_CODE')",0.59554524216,0.281075180656,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'L7_PROTO')",0,0,0.11207943705,0.237475167046
12,pilot_013,002f43355f1edaf4,structured,Benign,Benign,random_forest,DoS probability,5,5,1,0.120329770766,13.6,3,24,"('L4_DST_PORT', 'IN_BYTES', 'NUM_PKTS_UP_TO_128_BYTES', 'FLOW_DURATION_MILLISECONDS', 'MIN_TTL')",0.59554524216,0.281075180656,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SHORTEST_FLOW_PKT', 'L7_PROTO')",0.2,0.111111111111,0.202049755833,0.428105286581
13,pilot_014,1cc7dca9ffa68287,deterministic_text,Benign,DoS,logistic_regression,DoS log-odds,5,5,0,0.0745682347387,32.4,18,45,"('TCP_FLAGS', 'CLIENT_TCP_FLAGS', 'ICMP_TYPE', 'RETRANSMITTED_IN_PKTS', 'SRC_TO_DST_IAT_MIN')",5.32159736137,3.65358205392,"('MIN_IP_PKT_LEN', 'SERVER_TCP_FLAGS', 'MIN_TTL', 'MAX_TTL', 'DST_TO_SRC_AVG_THROUGHPUT')",0,0,0.014012378178,0.020409623662
13,pilot_014,1cc7dca9ffa68287,structured,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.276830793792,21.2,7,36,"('TCP_FLAGS', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'PROTOCOL', 'RETRANSMITTED_IN_PKTS')",5.32159736137,3.65358205392,"('MIN_IP_PKT_LEN', 'SERVER_TCP_FLAGS', 'MIN_TTL', 'MAX_TTL', 'DST_TO_SRC_AVG_THROUGHPUT')",0,0,0.0520202441097,0.0757696938804
13,pilot_014,1cc7dca9ffa68287,deterministic_text,Benign,DoS,random_forest,DoS probability,5,5,0,0.0311493290231,25.6,10,45,"('TCP_FLAGS', 'CLIENT_TCP_FLAGS', 'ICMP_TYPE', 'RETRANSMITTED_IN_PKTS', 'SRC_TO_DST_IAT_MIN')",0.494040242016,0.271716790349,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'SHORTEST_FLOW_PKT')",0,0,0.0630501857419,0.114638955447
13,pilot_014,1cc7dca9ffa68287,structured,Benign,Benign,random_forest,DoS probability,5,5,0,0.0449500953628,19.4,7,44,"('TCP_FLAGS', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'PROTOCOL', 'RETRANSMITTED_IN_PKTS')",0.494040242016,0.271716790349,"('MIN_IP_PKT_LEN', 'MAX_TTL', 'MIN_TTL', 'SERVER_TCP_FLAGS', 'SHORTEST_FLOW_PKT')",0,0,0.0909846841209,0.165429951182
14,pilot_015,a67a0af8f3def092,deterministic_text,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.349329673419,17.4,8,25,"('L4_DST_PORT', 'FTP_COMMAND_RET_CODE', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'TCP_WIN_MAX_IN')",5.46356969373,3.56864439187,"('MIN_IP_PKT_LEN', 'L7_PROTO', 'MIN_TTL', 'MAX_TTL', 'SERVER_TCP_FLAGS')",0,0,0.0639379916432,0.0978886196156
14,pilot_015,a67a0af8f3def092,structured,Benign,Benign,logistic_regression,DoS log-odds,5,5,0,0.296267359634,21.4,8,37,"('TCP_FLAGS', 'L4_DST_PORT', 'IN_PKTS', 'FLOW_DURATION_MILLISECONDS', 'RETRANSMITTED_IN_PKTS')",5.46356969373,3.56864439187,"('MIN_IP_PKT_LEN', 'L7_PROTO', 'MIN_TTL', 'MAX_TTL', 'SERVER_TCP_FLAGS')",0,0,0.0542259687789,0.0830195802946
